"Parça Adı","Sanatçı","Albüm","Parça Süresi (ms)"
"Overdose","AC/DC","Let There Be Rock",369319
"Let There Be Rock","AC/DC","Let There Be Rock",366654
"Go Down","AC/DC","Let There Be Rock",331180
"Problem Child","AC/DC","Let There Be Rock",325041
"Whole Lotta Rosie","AC/DC","Let There Be Rock",323761
"Bad Boy Boogie","AC/DC","Let There Be Rock",267728
"Hell Ain't A Bad Place To Be","AC/DC","Let There Be Rock",254380
"Dog Eat Dog","AC/DC","Let There Be Rock",215196
